rxnorm,snomed
860225,126092000
372747,126092000
372748,126092000
1159210,126092000
1159211,126092000
1159212,126092000
1020066,387582001
905101,387582001
905093,387582001
905100,387582001
1020065,387582001
905092,387582001
905043,387582001
905034,387582001
905026,387582001
905030,387582001
753145,387582001
1169918,387582001
1169919,387582001
1020064,387582001
905032,387582001
905024,387582001
905028,387582001
905083,387582001
905041,387582001
1020063,387582001
617278,387582001
1165476,387582001
1165477,387582001
1737461,96288007
1737451,96288007
1737457,96288007
1737459,96288007
1737449,96288007
1737453,96288007
1737448,96288007
1160721,96288007
904954,96287002
904934,96287002
579527,96287002
728000,96287002
1175712,96287002
1175713,96287002
1175714,96287002
904952,96287002
904932,96287002
904955,96287002
904936,96287002
904946,96287002
452852,96287002
727807,96287002
1659716,96287002
1165296,96287002
1165297,96287002
1165298,96287002
904495,96290008
904433,96290008
904421,96290008
904465,96290008
1248083,96290008
904427,96290008
904398,96290008
904464,96290008
1537104,96290008
1173285,96290008
1173286,96290008
1173287,96290008
1173288,96290008
1248082,96290008
904492,96290008
1248077,96290008
904396,96290008
904462,96290008
904431,96290008
904425,96290008
904447,96290008
904405,96290008
904419,96290008
904395,96290008
904446,96290008
904461,96290008
1536440,96290008
1367006,96290008
1367007,96290008
1367008,96290008
1367009,96290008
1367010,96290008
1046402,446321003
993456,446321003
993455,446321003
1655917,446321003
1181276,446321003
1186420,446321003
1046398,446321003
993452,446321003
993458,446321003
993451,446321003
993457,446321003
1655915,446321003
1157742,446321003
351945,395926009
1114087,395926009
705875,395926009
1865671,395926009
1865680,395926009
1178326,395926009
1188174,395926009
1114085,395926009
705824,395926009
351114,395926009
1865665,395926009
1865664,395926009
1156253,395926009
